molecule_id,canonical_smiles,molecular_weight,logp,tpsa,h_bond_donors,h_bond_acceptors
BENCHMARK_1,[Cl].CC(C)NCC(O)COc1cccc2ccccc12,294.802,3.267000000000002,41.489999999999995,2,3
BENCHMARK_2,C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl,360.32500000000005,4.635000000000004,29.54,0,3
BENCHMARK_3,c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2C(C)CO3)=O,361.3730000000001,1.544,75.00999999999999,1,5
BENCHMARK_4,C1CCN(CC1)Cc1cccc(c1)OCCCNC(=O)C,290.40700000000004,2.5775000000000006,41.57,1,3
BENCHMARK_5,Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,435.8890000000002,2.5487200000000003,112.74000000000001,2,6
BENCHMARK_6,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,645.6800000000004,-1.1119999999999963,220.25999999999996,4,12
BENCHMARK_7,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(/O)NCN5CCCC5)C1=O,527.5740000000004,0.3132000000000008,170.87,6,11
BENCHMARK_8,Cn1c2CCC(Cn3ccnc3C)C(=O)c2c4ccccc14,293.37,3.1285200000000017,39.82,0,2
BENCHMARK_9,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O,414.5270000000002,3.368500000000002,59.080000000000005,0,6
BENCHMARK_10,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,229.63099999999997,-1.2919999999999998,159.29,4,5
BENCHMARK_11,OCC(C)(O)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,389.79900000000004,1.3611000000000002,117.51,2,7
BENCHMARK_12,CC1=CN([C@H]2C[C@H](F)[C@@H](CO)O2)C(=O)NC1=O,244.22199999999998,-0.53708,84.32,2,4
BENCHMARK_13,C(Cl)Cl,84.933,1.4215,0.0,0,0
BENCHMARK_14,C1N(C(CC2CCCCC12)C(NC(C)(C)C)=O)CC(C(Cc1ccccc1)NC(C(NC(c1nc2c(cccc2)cc1)=O)CC(N)=O)=O)O,670.8550000000002,3.0924000000000027,166.75,5,7
BENCHMARK_15,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,309.45300000000003,4.292000000000004,20.310000000000002,0,2
BENCHMARK_16,CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O)CC)c3ccccc3)C1=O,416.5260000000001,1.3839000000000006,85.49000000000001,0,6
BENCHMARK_17,CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1,477.0480000000001,5.088000000000005,43.78,1,3
BENCHMARK_18,CN1C2CCC1CC(C2)OC(=O)[C@H](CO)c3ccccc3,289.375,1.9309,49.769999999999996,1,4
BENCHMARK_19,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3,494.0130000000003,3.641700000000002,113.6,3,5
BENCHMARK_20,Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,256.096,2.0097999999999994,90.71,2,5
BENCHMARK_21,CCCC(C)C,86.178,2.442500000000001,0.0,0,0
BENCHMARK_22,C[C@H](N)Cc1ccccc1,135.20999999999998,1.5763,26.02,1,1
BENCHMARK_23,c1cc2c(cc(CC3=CNC(=NC3=O)NCCSCc3oc(cc3)CN(C)C)cc2)cc1,448.5920000000002,4.513800000000004,74.16,2,6
BENCHMARK_24,CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,309.40600000000006,0.6347999999999998,81.95,4,5
BENCHMARK_25,CCC(=O)N(c1ccccc1)C2(CCN(CCc3sccc3)CC2)COC,386.5610000000001,4.214800000000004,32.78,0,4
BENCHMARK_26,CCNC(=NC#N)NCCSCc1c(cccn1)Br,342.26599999999996,2.11348,73.1,2,4
BENCHMARK_27,CN(C)C(=O)Cc1n2cc(C)ccc2nc1c3ccc(C)cc3,307.39700000000005,3.2488400000000013,37.61,0,2
